,step,accuracy,loss
0,0,0.46484375,0.7330013513565063
1,1,0.43359375,0.7294018864631653
2,2,0.484375,0.7116197347640991
3,3,0.45703125,0.7094488739967346
4,4,0.4921875,0.7104012370109558
5,5,0.50390625,0.7164307832717896
6,6,0.54296875,0.7163411974906921
7,7,0.5625,0.7022929787635803
8,8,0.57421875,0.6874176263809204
9,9,0.578125,0.677699625492096
10,10,0.54296875,0.6841979026794434
11,11,0.6484375,0.6663098335266113
12,12,0.57421875,0.6736632585525513
13,13,0.6171875,0.6682131886482239
14,14,0.6015625,0.6706951856613159
15,15,0.5703125,0.6752592325210571
16,16,0.62890625,0.6627665758132935
17,17,0.640625,0.6546833515167236
18,18,0.56640625,0.672799289226532
19,19,0.5859375,0.6662707328796387
20,20,0.54296875,0.6767085790634155
21,21,0.640625,0.6573127508163452
22,22,0.6328125,0.6493812799453735
23,23,0.59375,0.656269907951355
24,24,0.61328125,0.670728862285614
25,25,0.6484375,0.6403429508209229
26,26,0.63671875,0.6501434445381165
27,27,0.6796875,0.6341283917427063
28,28,0.65234375,0.651244044303894
29,29,0.58984375,0.6732555031776428
30,30,0.5859375,0.6487938761711121
31,31,0.60546875,0.6636660695075989
32,32,0.65234375,0.6283090114593506
33,33,0.66796875,0.6270649433135986
34,34,0.58984375,0.658661961555481
35,35,0.65625,0.6371662020683289
36,36,0.609375,0.6520287394523621
37,37,0.59765625,0.6407572627067566
38,38,0.640625,0.642187774181366
39,39,0.65625,0.62745600938797
40,40,0.6328125,0.6461653709411621
41,41,0.66796875,0.627961277961731
42,42,0.61328125,0.6495043635368347
43,43,0.6484375,0.6346834301948547
44,44,0.60546875,0.6476913690567017
45,45,0.5859375,0.6564695835113525
46,46,0.63671875,0.6367387175559998
47,47,0.625,0.6414888501167297
48,48,0.73046875,0.6163502931594849
49,49,0.66796875,0.6235571503639221
50,50,0.63671875,0.6280782222747803
51,51,0.6328125,0.6351222395896912
52,52,0.63671875,0.6327723860740662
53,53,0.65625,0.6257167458534241
54,54,0.66015625,0.6250221133232117
55,55,0.65625,0.6299567222595215
56,56,0.66796875,0.6385473608970642
57,57,0.640625,0.6190890073776245
58,58,0.6640625,0.6161737442016602
59,59,0.6484375,0.6132688522338867
60,60,0.62109375,0.6324755549430847
61,61,0.6953125,0.6000401377677917
62,62,0.6796875,0.6151827573776245
63,63,0.625,0.6470131874084473
64,64,0.70703125,0.5824519395828247
65,65,0.6796875,0.6331146955490112
66,66,0.65234375,0.6196532249450684
67,67,0.703125,0.5913070440292358
68,68,0.68359375,0.6017522811889648
69,69,0.59765625,0.6338220834732056
70,70,0.6875,0.5823912620544434
71,71,0.75,0.5748790502548218
72,72,0.6484375,0.6219185590744019
73,73,0.65234375,0.6181096434593201
74,74,0.671875,0.5828770399093628
75,75,0.62890625,0.612662672996521
76,76,0.671875,0.6030588150024414
77,77,0.63671875,0.620944082736969
78,78,0.6640625,0.602622926235199
79,79,0.6875,0.5856978297233582
80,80,0.7265625,0.579249918460846
81,81,0.69140625,0.5964078903198242
82,82,0.71484375,0.5903772711753845
83,83,0.65234375,0.6115050911903381
84,84,0.67578125,0.5983411073684692
85,85,0.68359375,0.580059289932251
86,86,0.67578125,0.5985259413719177
87,87,0.71484375,0.6052426695823669
88,88,0.64453125,0.6132526993751526
89,89,0.6875,0.5721836090087891
90,90,0.70703125,0.5639718174934387
91,91,0.6640625,0.5789501070976257
92,92,0.65234375,0.5917539000511169
93,93,0.73828125,0.5619818568229675
94,94,0.65234375,0.6078203320503235
95,95,0.69140625,0.5721513628959656
96,96,0.6875,0.588701069355011
97,97,0.75390625,0.5636742115020752
98,98,0.67578125,0.58330899477005
99,99,0.68359375,0.5978596806526184
100,100,0.6953125,0.5876362323760986
101,101,0.70703125,0.5455952882766724
102,102,0.6875,0.5521723031997681
103,103,0.64453125,0.5931867957115173
104,104,0.68359375,0.5523951649665833
105,105,0.69921875,0.5434479713439941
106,106,0.75,0.5404565930366516
107,107,0.63671875,0.6140052080154419
108,108,0.68359375,0.6007779836654663
109,109,0.71875,0.5568311214447021
110,110,0.73828125,0.5178053379058838
111,111,0.66796875,0.5682841539382935
112,112,0.6953125,0.5742496252059937
113,113,0.7109375,0.5594978928565979
114,114,0.6796875,0.5870140194892883
115,115,0.66796875,0.5839563608169556
116,116,0.734375,0.5311921834945679
