,step,accuracy,examples_per_second,loss
0,0,0.48828125,620.9751677440921,0.982172429561615
1,1,0.484375,6381.63397224451,0.9452767372131348
2,2,0.55078125,11074.755286011923,0.919704020023346
3,3,0.515625,4869.00331026727,0.9680464267730713
4,4,0.5703125,6733.865716758438,0.882793128490448
5,5,0.5703125,4632.010940041155,0.8767896890640259
6,6,0.59375,4511.349671651072,0.7165213823318481
7,7,0.546875,4467.111920987161,0.7865930795669556
8,8,0.5625,5283.928487419356,0.7128509283065796
9,9,0.609375,6990.688715851976,0.6667030453681946
10,10,0.54296875,5219.509442583743,0.6535549759864807
11,11,0.6015625,7270.191304818844,0.661848783493042
12,12,0.62109375,6669.6181377725325,0.6539756059646606
13,13,0.640625,3382.8868697306903,0.6197894811630249
14,14,0.64453125,5730.351610114314,0.6031589508056641
15,15,0.62109375,5980.615828492177,0.6417025923728943
16,16,0.61328125,5681.92524937161,0.6589033603668213
17,17,0.67578125,5281.8491113636255,0.615326464176178
18,18,0.59765625,4172.966448899961,0.6916669011116028
19,19,0.59375,5655.112281496385,0.645739734172821
20,20,0.640625,4071.784636503946,0.6432598829269409
21,21,0.625,4963.076849121315,0.6522023677825928
22,22,0.66796875,4123.44833889531,0.6213454604148865
23,23,0.625,4457.283740701381,0.667999267578125
24,24,0.62890625,4506.824082468688,0.6312296986579895
25,25,0.60546875,4550.756200518758,0.6515491008758545
26,26,0.6328125,5424.198672418845,0.6111359596252441
27,27,0.65625,6869.66145026935,0.6039091944694519
28,28,0.625,4136.314805326882,0.6466280817985535
29,29,0.66015625,6998.662660261633,0.6127163767814636
30,30,0.63671875,4922.869448405185,0.6414886116981506
31,31,0.6328125,7243.21762535331,0.6337887644767761
32,32,0.68359375,4886.552941283552,0.602816104888916
33,33,0.65625,7076.66133263033,0.6203746795654297
34,34,0.70703125,5015.610164424515,0.5663150548934937
35,35,0.65625,6645.182161379362,0.621673583984375
36,36,0.6484375,6630.819257466097,0.6274299025535583
37,37,0.66015625,3846.5930264633284,0.6072525382041931
38,38,0.671875,4207.963443835262,0.6098635196685791
39,39,0.71875,6308.409851475842,0.5828849673271179
40,40,0.62109375,3632.7220637739997,0.6314204335212708
41,41,0.69921875,4376.742350068684,0.5816833972930908
42,42,0.640625,4377.0634989870005,0.6133489608764648
43,43,0.640625,4988.023190129329,0.6312146186828613
44,44,0.7265625,4569.639167053236,0.574550211429596
45,45,0.625,4656.033371926127,0.6315850615501404
46,46,0.70703125,4320.2841611845415,0.5913575291633606
47,47,0.6875,4585.4265557472545,0.5895909070968628
48,48,0.65625,3972.804623473303,0.60646653175354
49,49,0.671875,5908.120523825245,0.5885453820228577
50,50,0.6796875,4494.975736365311,0.5686484575271606
51,51,0.671875,4442.603909107459,0.5910858511924744
52,52,0.67578125,4678.470913741193,0.5910033583641052
53,53,0.72265625,11086.647640681465,0.5495612621307373
54,54,0.71484375,4719.78577394087,0.5559931397438049
55,55,0.66796875,6650.491622949094,0.5898544788360596
56,56,0.72265625,5088.269164972538,0.5740160942077637
57,57,0.71875,6209.866600350473,0.5748820900917053
58,58,0.73046875,5467.646177583371,0.5575174689292908
