,step,accuracy,examples_per_second,loss
0,0,0.515625,678.9058161569118,0.9771847724914551
1,1,0.6015625,6429.899779630162,0.8191617727279663
2,2,0.6328125,5592.929670489942,0.7713682651519775
3,3,0.671875,7426.627638677549,0.6838024854660034
4,4,0.6875,13645.386572456126,0.6990734934806824
5,5,0.69921875,13717.908142015765,0.7111154794692993
6,6,0.703125,3930.053928619795,0.7313857078552246
7,7,0.828125,7743.870298650627,0.6008103489875793
8,8,0.82421875,5137.274886369073,0.5250608921051025
9,9,0.83984375,7557.889645172416,0.5347161293029785
10,10,0.828125,13720.888161930076,0.5192773342132568
11,11,0.84375,4146.425740280202,0.5367797017097473
12,12,0.8125,7778.6522743902,0.5411643385887146
13,13,0.87890625,13707.050794663943,0.4216591417789459
14,14,0.828125,5208.495789514533,0.5381857752799988
15,15,0.7890625,13645.386572456126,0.5558125376701355
16,16,0.81640625,4688.931304176947,0.4760587811470032
17,17,0.81640625,7858.238306779177,0.448775053024292
18,18,0.8046875,4874.462949259802,0.45730942487716675
19,19,0.8515625,8182.136889430771,0.42479991912841797
20,20,0.8046875,5097.7630157147605,0.4549834728240967
21,21,0.80078125,4690.938824012547,0.44985875487327576
22,22,0.79296875,5043.267094398467,0.528789758682251
23,23,0.796875,7453.952266574106,0.4797232747077942
24,24,0.7890625,13630.31664466335,0.47939592599868774
25,25,0.78125,13669.011037134163,0.49174290895462036
26,26,0.828125,5188.311528165679,0.47511306405067444
27,27,0.8203125,4742.256973765569,0.4887445867061615
28,28,0.859375,5173.936288422341,0.41401371359825134
29,29,0.80859375,5219.966183598364,0.5188841819763184
30,30,0.8125,8171.613360832274,0.47290435433387756
31,31,0.82421875,13326.819213106615,0.4557068347930908
32,32,0.80859375,4379.938095043851,0.4812782406806946
33,33,0.8515625,5196.446905096065,0.41316014528274536
34,34,0.81640625,7829.473490786854,0.4665040671825409
35,35,0.80859375,8694.265781376518,0.48296934366226196
36,36,0.83984375,13689.400581365699,0.4227706491947174
37,37,0.84765625,4203.400421224055,0.4288858473300934
38,38,0.82421875,5221.946318712583,0.4452075958251953
39,39,0.80859375,5189.791072766379,0.4921184182167053
40,40,0.77734375,5886.677909233452,0.5137739777565002
41,41,0.7890625,5161.798429936015,0.49965569376945496
42,42,0.84375,7470.3398221715115,0.4302837550640106
43,43,0.8203125,13590.120416661393,0.4504229724407196
44,44,0.83203125,13708.450776871321,0.4331810176372528
45,45,0.7890625,5200.020456394561,0.4887479245662689
46,46,0.87109375,13666.05350642739,0.3893352150917053
47,47,0.7890625,4629.514534307174,0.5016425848007202
48,48,0.83203125,7814.2598975314395,0.4345034062862396
49,49,0.81640625,7667.996086524934,0.45255914330482483
50,50,0.84375,7605.265639165911,0.4266432821750641
51,51,0.8359375,4529.0083304862055,0.41660046577453613
52,52,0.80859375,6739.402496814647,0.4651573598384857
53,53,0.81640625,4144.841149562834,0.45434680581092834
54,54,0.85546875,7699.557735470224,0.38767245411872864
55,55,0.84765625,13630.489673119644,0.39644384384155273
56,56,0.828125,13665.879573888586,0.4268365502357483
57,57,0.859375,5250.4942421382575,0.3811339735984802
58,58,0.8515625,13673.88505571474,0.39986783266067505
59,59,0.78515625,4859.175931792263,0.49427521228790283
60,60,0.81640625,7829.130961668866,0.4602125883102417
61,61,0.828125,7672.489042280292,0.42710262537002563
62,62,0.83203125,4502.930644904258,0.4203239977359772
63,63,0.81640625,6486.925303883425,0.44479453563690186
64,64,0.83984375,8822.133136143291,0.401174932718277
65,65,0.828125,8638.517615067138,0.4278786778450012
66,66,0.82421875,13468.407159790775,0.42101427912712097
67,67,0.7890625,9354.048070808178,0.46899622678756714
68,68,0.828125,5699.780893180383,0.4369586408138275
69,69,0.828125,4956.135611057517,0.4066337049007416
70,70,0.8046875,7779.103116011853,0.45516765117645264
71,71,0.76171875,6908.424153128519,0.5358683466911316
72,72,0.80859375,8832.87395732219,0.45640361309051514
73,73,0.8203125,8557.416409643356,0.40720054507255554
74,74,0.83984375,7670.241906449124,0.3984891474246979
75,75,0.8359375,5248.569367185132,0.41816386580467224
76,76,0.7890625,5701.0519430182485,0.4582480788230896
77,77,0.82421875,9203.553940308231,0.4574836492538452
78,78,0.84375,13802.018407116047,0.4093634784221649
79,79,0.8125,5269.148557996653,0.44838947057724
80,80,0.8515625,7739.404946049,0.38150349259376526
81,81,0.82421875,7657.496551871688,0.4233322739601135
82,82,0.828125,7776.3988499170755,0.41444939374923706
83,83,0.8515625,5170.62256936753,0.3864549696445465
84,84,0.8046875,5070.368629821314,0.4549263119697571
85,85,0.8046875,5229.168751856704,0.45833954215049744
86,86,0.8515625,7424.984261333776,0.3853532373905182
87,87,0.81640625,13566.939047811584,0.43174803256988525
88,88,0.84765625,4184.349824051378,0.3759509325027466
89,89,0.85546875,5308.7993196774405,0.379345178604126
90,90,0.796875,5360.989295414603,0.46715813875198364
91,91,0.8125,5413.314834234089,0.43402647972106934
92,92,0.80859375,4979.141118860365,0.450674831867218
93,93,0.796875,5084.558564616412,0.4700793921947479
94,94,0.8359375,7536.088040426726,0.42371928691864014
95,95,0.86328125,5082.224144949213,0.3802875280380249
96,96,0.85546875,13755.868455103322,0.38774022459983826
97,97,0.84375,7907.19568755385,0.3894294500350952
98,98,0.828125,7164.010034694422,0.4002898037433624
99,99,0.8359375,5154.414343662243,0.39641430974006653
100,100,0.8203125,12232.192116655275,0.4241873323917389
101,101,0.80859375,5155.825101556723,0.42844337224960327
102,102,0.79296875,7507.581571936988,0.4630582630634308
103,103,0.8046875,4462.099702455161,0.44004666805267334
104,104,0.80078125,8502.191970860717,0.45593565702438354
105,105,0.828125,5336.848136624352,0.4169307053089142
106,106,0.859375,7615.136233076361,0.37766560912132263
107,107,0.83984375,5522.482649371756,0.4095413386821747
108,108,0.82421875,5260.526394693135,0.4600049555301666
109,109,0.84375,5090.488472533672,0.3965801000595093
110,110,0.83203125,6022.749614372816,0.42161130905151367
111,111,0.87109375,8167.200304251921,0.3443000614643097
112,112,0.83203125,7663.398999379073,0.38809558749198914
113,113,0.80859375,7026.278475048751,0.43435704708099365
114,114,0.8359375,8313.526464120909,0.36850979924201965
115,115,0.86328125,4549.7727702236025,0.3637479841709137
116,116,0.828125,7352.029305634487,0.37289589643478394
117,117,0.82421875,4477.674318908753,0.40278297662734985
118,118,0.79296875,5120.761832090193,0.44674527645111084
119,119,0.84375,6734.2035798953875,0.3965117633342743
120,120,0.83984375,10294.152052614423,0.4037599265575409
121,121,0.8125,8320.097199621863,0.4511290192604065
122,122,0.8359375,13721.764884793805,0.40887635946273804
123,123,0.8515625,5245.543752686911,0.40011128783226013
124,124,0.83984375,7692.993136257469,0.3937080204486847
125,125,0.8359375,13740.905326201018,0.4058479368686676
126,126,0.84375,4465.124250955409,0.42392924427986145
127,127,0.8671875,5313.764792050201,0.39244818687438965
128,128,0.87890625,5199.542020367348,0.36533114314079285
129,129,0.83984375,7436.760726678349,0.40432271361351013
